rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image,is_working
253,https://www.afriquesports.net/afrique/seydou-keita-limpressionnante-fortune-de-lex-star-du-barca-qui-cree-de-lemploi-au-mali,seydou-keita-limpressionnante-fortune-de-lex-star-du-barca-qui-cree-de-lemploi-au-mali,fr,afrique,71,2603,2.73,7.9,,,,,,False
256,https://www.afriquesports.net/afrique/senegal/equipe-du-senegal-le-verdict-est-tombe-pour-malick-thiaw,equipe-du-senegal-le-verdict-est-tombe-pour-malick-thiaw,fr,afrique,70,1133,6.18,9.0,,,,,,False
257,https://www.afriquesports.net/article-du-jour/voitures-de-luxe-jet-prive-salaire-mirobolant-la-fortune-colossale-daubameyang,voitures-de-luxe-jet-prive-salaire-mirobolant-la-fortune-colossale-daubameyang,fr,article-du-jour,70,5136,1.36,11.1,,,,,,False
262,https://www.afriquesports.net/afrique/senegal/senegal-rdc-grosse-polemique-apres-un-but-refuse,senegal-rdc-grosse-polemique-apres-un-but-refuse,fr,afrique,68,1137,5.98,10.4,,,,,,False
266,https://www.afriquesports.net/football/ronaldinho-4e-kaka-8e-le-nouveau-top-20-des-meilleurs-joueurs-bresiliens-de-lhistoire,ronaldinho-4e-kaka-8e-le-nouveau-top-20-des-meilleurs-joueurs-bresiliens-de-lhistoire,fr,football,68,1876,3.62,28.4,,,,,,False
270,https://www.afriquesports.net/football/foot/riches-et-milliardaires-le-top-10-des-sportifs-senegalais-photos,riches-et-milliardaires-le-top-10-des-sportifs-senegalais-photos,fr,football,67,2931,2.29,16.8,,,,,,False
272,https://www.afriquesports.net/can-2025/can-2025-maroc-ecrase-les-comores-2-0-reflet-dune-gloire-mondiale,can-2025-maroc-ecrase-les-comores-2-0-reflet-dune-gloire-mondiale,fr,can-2025,66,6462,1.02,5.2,,,,,,False
273,https://www.afriquesports.net/foot/cote-divoire-equipe-type-can-2025-sans-haller,cote-divoire-equipe-type-can-2025-sans-haller,fr,foot,66,4677,1.41,4.5,,,,,,False
276,https://www.afriquesports.net/coupe-du-monde/pele-3e-zidane-7e-cr7-les-50-meilleurs-joueurs-de-lhistoire-devoiles-apres-le-sacre-de-messi,pele-3e-zidane-7e-cr7-les-50-meilleurs-joueurs-de-lhistoire-devoiles-apres-le-sacre-de-messi,fr,coupe-du-monde,65,9158,0.71,44.6,,,,,,False
281,https://www.afriquesports.net/europe/torres-19e-van-persie-12e-aguero-3e-les-30-meilleurs-numeros-9-de-lhistoire-de-la-pl,torres-19e-van-persie-12e-aguero-3e-les-30-meilleurs-numeros-9-de-lhistoire-de-la-pl,fr,europe,63,927,6.80,22.0,,,,,,False
284,https://www.afriquesports.net/afrique/senegal/soudan-du-sud-senegal-les-11-titulaires-attendus-pour-le-choc,soudan-du-sud-senegal-les-11-titulaires-attendus-pour-le-choc,fr,afrique,62,5545,1.12,7.5,,,,,,False
289,https://www.afriquesports.net/football/rdc-les-leopards-prets-a-defier-lalgerie-en-8e-de-af-1767166247262,rdc-les-leopards-prets-a-defier-lalgerie-en-8e-de-af-1767166247262,fr,football,61,3965,1.54,6.3,,,,,,False
293,https://www.afriquesports.net/afrique/cote-divoire/emerse-fae-fait-une-incroyable-revelation-sur-sa-femme,emerse-fae-fait-une-incroyable-revelation-sur-sa-femme,fr,afrique,59,1874,3.15,4.0,,,,,,False
296,https://www.afriquesports.net/football/roman-abramovich-tres-puissant-john-obi-mikel-sort-ses-verites-il-ma-dit-si-jenvoie-des-gens-au-nigeria-je-peux,roman-abramovich-tres-puissant-john-obi-mikel-sort-ses-verites-il-ma-dit-si-jenvoie-des-gens-au-nigeria-je-peux,fr,football,59,405,14.57,10.4,,,,,,False
302,https://www.afriquesports.net/en/non-classe/caf-unveils-groundbreaking-changes-for-2026-world-rm-1760197563847,caf-unveils-groundbreaking-changes-for-2026-world-rm-1760197563847,en,non-classe,58,4749,1.22,3.8,,,,,,False
304,https://www.afriquesports.net/football/barca-tremble-un-joueur-cle-blesse-pendant-la-treve-internationale,barca-tremble-un-joueur-cle-blesse-pendant-la-treve-internationale,fr,football,58,1128,5.14,9.1,,,,,,False
311,https://www.afriquesports.net/en/non-classe/burkina-fasos-shocking-exclusion-from-world-cup-pl-rm-1760535966358,burkina-fasos-shocking-exclusion-from-world-cup-pl-rm-1760535966358,en,non-classe,57,1543,3.69,9.1,,,,,,False
315,https://www.afriquesports.net/afrique/senegal/mondial-2026-q-troisieme-forfait-coup-dur-pour-le-senegal-en-4-jours,mondial-2026-q-troisieme-forfait-coup-dur-pour-le-senegal-en-4-jours,fr,afrique,55,523,10.52,12.9,,,,,,False
317,https://www.afriquesports.net/en/non-classe/brazil-targets-senegal-for-high-stakes-friendly-in-rm-1758892558296,brazil-targets-senegal-for-high-stakes-friendly-in-rm-1758892558296,en,non-classe,55,2005,2.74,8.6,,,,,,False
320,https://www.afriquesports.net/football/tammy-abraham-david-alaba-ces-10-joueurs-dorigines-nigerianes-qui-ont-refuse-de-jouer-pour-les-super-eagles,tammy-abraham-david-alaba-ces-10-joueurs-dorigines-nigerianes-qui-ont-refuse-de-jouer-pour-les-super-eagles,fr,football,55,1204,4.57,15.2,,,,,,False
326,https://www.afriquesports.net/category/mercato,mercato,fr,category,53,12039,0.44,7.6,,,,,,False
329,https://www.afriquesports.net/foot/maroc-tarik-sektioui-coupe-arabe-2025,maroc-tarik-sektioui-coupe-arabe-2025,fr,foot,53,7425,0.71,4.5,,,,,,False
334,https://www.afriquesports.net/afrique/cameroun/samuel-etoo-se-chauffe-avec-un-supporter-la-video-fait-le-buzz,samuel-etoo-se-chauffe-avec-un-supporter-la-video-fait-le-buzz,fr,afrique,52,1498,3.47,8.7,,,,,,False
343,https://www.afriquesports.net/europe/les-tops-gardiens-de-but-actuels-qui-nont-jamais-encaisse-de-but-de-cr7,les-tops-gardiens-de-but-actuels-qui-nont-jamais-encaisse-de-but-de-cr7,fr,europe,51,1081,4.72,9.6,,,,,,False
344,https://www.afriquesports.net/foot/can-2025-remy-vita-comores-defie-maroc,can-2025-remy-vita-comores-defie-maroc,fr,foot,51,5642,0.90,4.3,,,,,,False
354,https://www.afriquesports.net/en/non-classe/senegals-malick-thiaw-sparks-speculation-ahead-of-rm-1759419074433,senegals-malick-thiaw-sparks-speculation-ahead-of-rm-1759419074433,en,non-classe,50,724,6.91,12.0,,,,,,False
358,https://www.afriquesports.net/football/real-madrid-le-nom-du-remplacant-de-courtois-enfin-devoile,real-madrid-le-nom-du-remplacant-de-courtois-enfin-devoile,fr,football,50,2455,2.04,7.0,,,,,,False
363,https://www.afriquesports.net/article-du-jour/cameroun-vincent-aboubakar-amasse-une-tres-grosse-fortune,cameroun-vincent-aboubakar-amasse-une-tres-grosse-fortune,fr,article-du-jour,49,2382,2.06,8.0,,,,,,False
366,https://www.afriquesports.net/afrique/cameroun/tension-maximale-au-cameroun-marc-brys-et-samuel-etoo-saffrontent,tension-maximale-au-cameroun-marc-brys-et-samuel-etoo-saffrontent,fr,afrique,48,1079,4.45,6.8,,,,,,False
368,https://www.afriquesports.net/afrique/senegal/senegal-elimine-de-la-coupe-du-monde-2026-la-verite-eclate,senegal-elimine-de-la-coupe-du-monde-2026-la-verite-eclate,fr,afrique,48,2220,2.16,15.4,,,,,,False
374,https://www.afriquesports.net/afrique/ces-5-joueurs-africains-qui-ont-eu-plus-de-10-clubs-dans-leur-carriere,ces-5-joueurs-africains-qui-ont-eu-plus-de-10-clubs-dans-leur-carriere,fr,afrique,47,655,7.18,9.6,,,,,,False
379,https://www.afriquesports.net/football/angleterre-le-jour-ou-didier-drogba-devenait-le-premier-joueur-africain-a-remporter-le-soulier-dor,angleterre-le-jour-ou-didier-drogba-devenait-le-premier-joueur-africain-a-remporter-le-soulier-dor,fr,football,47,1954,2.41,7.6,,,,,,False
385,https://www.afriquesports.net/afrique/cameroun/si-tout-etait-normal-le-cameroun-serait-deja-marc-brys-se-lache-sur-etoo,si-tout-etait-normal-le-cameroun-serait-deja-marc-brys-se-lache-sur-etoo,fr,afrique,46,2971,1.55,4.6,,,,,,False
391,https://www.afriquesports.net/es/football/huitiemes-de-finale-de-la-can-2025-calendrier-officiel-dates-et-heures-des-matchs,huitiemes-de-finale-de-la-can-2025-calendrier-officiel-dates-et-heures-des-matchs,es,football,46,1708,2.69,1.4,,,,,,False
396,https://www.afriquesports.net/afrique/cameroun/coupe-du-monde-2026-nabil-djellit-se-lache-et-balance-tout-sur-le-cameroun,coupe-du-monde-2026-nabil-djellit-se-lache-et-balance-tout-sur-le-cameroun,fr,afrique,45,1928,2.33,3.9,,,,,,False
399,https://www.afriquesports.net/football/can-2025-la-tension-sur-les-ballons-voles-entre-le-af-1767385884595,can-2025-la-tension-sur-les-ballons-voles-entre-le-af-1767385884595,fr,football,45,1914,2.35,3.5,,,,,,False
401,https://www.afriquesports.net/football/romain-saiss-pas-de-forfait-confirme-pour-la-can-2-af-1766493042558,romain-saiss-pas-de-forfait-confirme-pour-la-can-2-af-1766493042558,fr,football,45,1195,3.77,4.9,,,,,,False
403,https://www.afriquesports.net/football/can-2025-lequipe-type-du-premier-tour-revelee-af-1767285112409,can-2025-lequipe-type-du-premier-tour-revelee-af-1767285112409,fr,football,44,1292,3.41,7.6,,,,,,False
405,https://www.afriquesports.net/afrique/cameroun/andre-onana-trabzonspor-prend-une-decision-choc,andre-onana-trabzonspor-prend-une-decision-choc,fr,afrique,43,2214,1.94,6.2,,,,,,False
407,https://www.afriquesports.net/afrique/salaires-enormes-en-chine-gros-partenariats-a-la-decouverte-de-la-fortune-de-bassogog,salaires-enormes-en-chine-gros-partenariats-a-la-decouverte-de-la-fortune-de-bassogog,fr,afrique,43,1617,2.66,11.7,,,,,,False
414,https://www.afriquesports.net/football/can-2025-vers-un-choc-historique-maroc-algerie-en-af-1767180617832,can-2025-vers-un-choc-historique-maroc-algerie-en-af-1767180617832,fr,football,43,2263,1.90,5.7,,,,,,False
426,https://www.afriquesports.net/europe/casemiro-4e-kimmich-2e-ndidi-6e-les-10-meilleurs-milieux-de-terrain-defensifs-au-monde-actuellement,casemiro-4e-kimmich-2e-ndidi-6e-les-10-meilleurs-milieux-de-terrain-defensifs-au-monde-actuellement,fr,europe,42,7775,0.54,28.9,,,,,,False
427,https://www.afriquesports.net/foot/can-2025-mali-et-zambie-les-compositions-officiell-af-1766408461828,can-2025-mali-et-zambie-les-compositions-officiell-af-1766408461828,fr,foot,42,12285,0.34,3.6,,,,,,False
430,https://www.afriquesports.net/afrique/cote-divoire/terrible-nouvelle-le-monde-du-football-ivoirien-en-deuil-la-fif-annonce-le-deces-de,terrible-nouvelle-le-monde-du-football-ivoirien-en-deuil-la-fif-annonce-le-deces-de,fr,afrique,41,718,5.71,26.8,,,,,,False
433,https://www.afriquesports.net/afrique/senegal/eliminatoires-mondial-2026-le-senegal-annonce-un-renfort-de-taille-contre-la-mauritanie,eliminatoires-mondial-2026-le-senegal-annonce-un-renfort-de-taille-contre-la-mauritanie,fr,afrique,41,1825,2.25,3.2,,,,,,False
438,https://www.afriquesports.net/en/football/the-shocking-revelations-about-desailly-and-his-financial-troubles,the-shocking-revelations-about-desailly-and-his-financial-troubles,en,football,41,2179,1.88,8.2,,,,,,False
440,https://www.afriquesports.net/europe/real-madrid-inquiete-un-joueur-important-pourrait-etre-forfait-contre-le-barca,real-madrid-inquiete-un-joueur-important-pourrait-etre-forfait-contre-le-barca,fr,europe,41,4242,0.97,19.2,,,,,,False
445,https://www.afriquesports.net/football/mbappe-le-dilemme-algerien-ou-camerounais-apres-ma-af-1766701814024,mbappe-le-dilemme-algerien-ou-camerounais-apres-ma-af-1766701814024,fr,football,41,2386,1.72,5.7,,,,,,False
452,https://www.afriquesports.net/football/10-citations-celebres-de-sadio-mane,10-citations-celebres-de-sadio-mane,fr,football,40,310,12.90,8.7,,,,,,False
453,https://www.afriquesports.net/football/can-2025-senegal-et-rd-congo-un-duel-au-sommet-af-1766831487547,can-2025-senegal-et-rd-congo-un-duel-au-sommet-af-1766831487547,fr,football,40,7886,0.51,3.9,,,,,,False
458,https://www.afriquesports.net/afrique/senegal/vie-apres-carriere-la-legende-du-senegal-souleymane-camara-devient-imam,vie-apres-carriere-la-legende-du-senegal-souleymane-camara-devient-imam,fr,afrique,39,1151,3.39,11.4,,,,,,False
459,https://www.afriquesports.net/autres/francis-ngannou-vs-renan-ferreira-comment-regarder-le-combat-en-direct,francis-ngannou-vs-renan-ferreira-comment-regarder-le-combat-en-direct,fr,autres,39,570,6.84,53.3,,,,,,False
468,https://www.afriquesports.net/football/behaja-randriamalala-us-monastir,behaja-randriamalala-us-monastir,fr,football,39,248,15.73,7.1,,,,,,False
478,https://www.afriquesports.net/afrique/senegal/match-amical-senegal-vs-bresil-le-verdict-officiel-est-tombe,match-amical-senegal-vs-bresil-le-verdict-officiel-est-tombe,fr,afrique,38,3564,1.07,8.3,,,,,,False
485,https://www.afriquesports.net/en/non-classe/samuel-etoo-shocks-football-world-with-fifa-appoin-rm-1759937485542,samuel-etoo-shocks-football-world-with-fifa-appoin-rm-1759937485542,en,non-classe,38,1580,2.41,8.0,,,,,,False
487,https://www.afriquesports.net/foot/absents-can-2025-guirassy-gouiri-wissa,absents-can-2025-guirassy-gouiri-wissa,fr,foot,38,2351,1.62,5.3,,,,,,False
490,https://www.afriquesports.net/football/real-madrid-3e-bayern-5e-les-clubs-les-plus-titres-de-lhistoire-du-football,real-madrid-3e-bayern-5e-les-clubs-les-plus-titres-de-lhistoire-du-football,fr,football,38,15536,0.24,55.1,,,,,,False
493,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-le-nom-du-gagnant-fuite-cest-officiel,ballon-dor-2025-le-nom-du-gagnant-fuite-cest-officiel,fr,ballon-dor,37,4381,0.84,29.7,,,,,,False
494,https://www.afriquesports.net/en/football/can-2025-le-benin-accuse-la-var-et-denonce-un-arbitrage-scandaleux,can-2025-le-benin-accuse-la-var-et-denonce-un-arbitrage-scandaleux,en,football,37,473,7.82,4.8,,,,,,False
495,https://www.afriquesports.net/es/football/can-2025-le-benin-accuse-la-var-et-denonce-un-arbitrage-scandaleux,can-2025-le-benin-accuse-la-var-et-denonce-un-arbitrage-scandaleux,es,football,37,599,6.18,5.2,,,,,,False
