rank,url,clicks,post_id
1,https://www.afriquesports.net/classement/top-10-des-milieux-de-terrain-en-2025-pedri-neves-vitinha-le-classement-choc,3004,851539
2,https://www.afriquesports.net/can-2025/hakim-ziyech-en-deuil-une-tragedie-personnelle-assombrit-son-retour,2843,871203
3,https://www.afriquesports.net/autres/usyk-vs-tyson-fury-2-suivez-le-combat-en-direct,2492,836746
4,https://www.afriquesports.net/can-2025/en-direct-can-2025-cote-divoire-vs-mozambique-groupe-f-suivez-le-match-en-direct,2385,871365
7,https://www.afriquesports.net/classement/ederson-2e-onana-le-classement-des-meilleurs-gardiens-specialistes-du-jeu-au-pied,1475,626436
9,https://www.afriquesports.net/can-2025/en-direct-can-2025-rdc-vs-benin-groupe-d-suivez-le-match-en-live,1358,871105
10,https://www.afriquesports.net/football/ballon-dor-2025-le-vainqueur-deja-connu-et-le-classement-aurait-fuite,1328,860401
11,https://www.afriquesports.net/football/classement-des-favoris-pour-le-ballon-dor-africain-2024-apres-la-can-2023,1326,793560
12,https://www.afriquesports.net/europe/apres-le-clash-avec-xabi-alonso-vinicius-jr-a-tranche-pour-son-mercato,1274,865021
13,https://www.afriquesports.net/europe/triste-nouvelle-pour-le-football-le-real-madrid-est-en-deuil,964,871161
14,https://www.afriquesports.net/classement/classement-des-meilleurs-joueurs-ivoiriens-de-tous-les-temp,942,644348
15,https://www.afriquesports.net/football/paul-pogba-quitte-monaco-et-senvole,911,863564
16,https://www.afriquesports.net/football/rdc-senegal-la-compo-probable-des-lions-avec-gueye-lamine-camara-et-jackson,886,858468
17,https://www.afriquesports.net/can-2025/en-direct-can-2025-mali-vs-zambie-groupe-a-suivez-le-match-en-live,811,870841
18,https://www.afriquesports.net/classement/le-classement-des-joueurs-de-football-les-plus-diplomes,757,678345
19,https://www.afriquesports.net/allemagne/allemagne-combien-gagne-le-bayern-munich-avec-sa-bundesliga,756,635779
20,https://www.afriquesports.net/afrique/rigobert-song-2e-koulibaly-6e-les-10-meilleurs-defenseurs-africains-de-toute-lhistoire,752,671004
22,https://www.afriquesports.net/football/liste-du-senegal-les-deux-casse-tetes-de-pape-thiaw,642,868745
23,https://www.afriquesports.net/football/senegal-le-verdict-est-tombe-pour-assane-diao,618,859105
24,https://www.afriquesports.net/europe/soudan-vs-rdc-la-decision-officielle-de-la-fifa-est-tombee,608,862171
26,https://www.afriquesports.net/football/une-footballeuse-du-real-madrid-feminin-avoue-la-verite-sur-sa-relation-avec-vinicius,568,537423
27,https://www.afriquesports.net/football/sergio-ramos-5e-roberto-carlos-7e-les-meilleurs-defenseurs-buteurs-de-lhistoire,549,403587
28,https://www.afriquesports.net/europe/cody-gakpo-4e-griezmann-2e-les-5-meilleurs-faux-9-du-football-mondial-2022-23,547,631864
31,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-un-detail-fuite-avant-la-ceremonie-lamine-yamal-au-coeur-des-rumeurs,457,860506
32,https://www.afriquesports.net/classement/rigobert-song-2e-koulibaly-6e-les-10-meilleurs-defenseurs-africains-de-toute-lhistoire,454,671004
34,https://www.afriquesports.net/can-2025/direct-can-2025-maroc-comores-a-suivre-en-direct,426,870601
36,https://www.afriquesports.net/afrique/soudan-du-sud-vs-senegal-le-onze-de-depart-de-pape-thiaw-qui-promet-le-spectacle,390,862926
37,https://www.afriquesports.net/coupe-du-monde/voici-pourquoi-la-caf-a-elimine-le-burkina-faso-des-barrages-de-la-coupe-du-monde-2026,372,863656
40,https://www.afriquesports.net/afrique/hakim-ziyech-endeuille-une-drame-personnelle-assombrit-son-retour,350,871331
41,https://www.afriquesports.net/can-2025/en-direct-can-2025-algerie-vs-soudan-groupe-e-suivez-le-match-en-live,341,871335
42,https://www.afriquesports.net/afrique/classement-des-meilleurs-joueurs-ivoiriens-de-tous-les-temp,338,644348
47,https://www.afriquesports.net/can-2025/en-direct-can-2025-senegal-vs-botswana-groupe-d-suivez-le-match-en-live,302,871150
48,https://www.afriquesports.net/can-2025/en-direct-can-2025-egypte-vs-zimbabwe-groupe-b-suivez-le-match-en-live,301,870933
49,https://www.afriquesports.net/europe/diogo-jota-lheritage-laisse-a-sa-femme-va-vous-bouleverser,297,853220
50,https://www.afriquesports.net/football/france-zinedine-zidane-la-mauvaise-nouvelle,289,869886
51,https://www.afriquesports.net/football/la-sortie-inattendue-du-var-sur-le-penalty-polemique-dendrick-apres-real-madrid-espanyol,281,824781
53,https://www.afriquesports.net/afrique/la-fifa-frappe-fort-et-rend-son-verdict-pour-samuel-etoo,275,862845
54,https://www.afriquesports.net/football/quel-est-le-trophee-le-plus-cher-entre-la-can-leuro-et-la-copa-america,274,773365
56,https://www.afriquesports.net/football/vinicius-jr-prend-une-decision-surprenante-apres-son-clash-avec-xabi-alonso,271,865101
60,https://www.afriquesports.net/ballon-dor/ballon-dor-un-journaliste-de-france-football-devoile-le-vainqueur-par-erreur,252,858591
62,https://www.afriquesports.net/europe/a-quelques-jours-du-clasico-le-verdict-officiel-est-tombe-pour-lamine-yamal,246,863364
64,https://www.afriquesports.net/classement/can-2025-salaires-des-selectionneurs-emerse-fae-3e-walid-regragui-4e-pape-thiaw-loin-derriere,242,870871
69,https://www.afriquesports.net/football/mondial-2026-la-fifa-tranche-et-annonce-une-decision-ferme-pour-lafrique-du-sud-et-le-benin,237,860016
71,https://www.afriquesports.net/europe/yamal-soffre-un-double-contre-seoul-video,228,854793
75,https://www.afriquesports.net/classement/footballeurs-africains-avec-les-voitures-les-plus-cheres-du-monde,219,760253
77,https://www.afriquesports.net/europe/les-5-joueurs-qui-ont-fourni-le-plus-de-passes-decisives-pour-les-buts-de-ronaldo-au-cours-de-sa-carriere,217,331780
78,https://www.afriquesports.net/europe/neymar-12e-messi-5e-zidane-4e-les-20-joueurs-les-plus-techniques-de-lhistoire-reveles,217,404985
80,https://www.afriquesports.net/ligue-des-champions/etoo-5e-pique-3e-les-joueurs-qui-ont-gagne-plusieurs-fois-la-ligue-des-champions-avec-differentes-equipes,208,279686
82,https://www.afriquesports.net/senegal/le-monde-sportif-senegalais-lourdement-endeuille-une-star-emblematique-est-decedee,200,870840
85,https://www.afriquesports.net/afrique-sports-tv/le-bombazo-de-cristiano-ronaldo-juste-apres-avoir-rate-un-penalty-video,191,863952
86,https://www.afriquesports.net/football/ronaldo-8e-messi-3e-zidane-le-top-20-des-meilleurs-dribbleurs-du-21e-siecle,187,502752
87,https://www.afriquesports.net/europe/adrien-rabiot-4e-odegaard-2e-les-5-meilleurs-milieux-gauchers-du-football-de-cette-saison-2022-23,186,619670
88,https://www.afriquesports.net/football/psg-mais-pourquoi-mbappe-est-appele-mobutu-une-explication-tombe,186,720765
91,https://www.afriquesports.net/can-2025/senegal-botswana-le-onze-probable-des-lions-avec-jakobs-gana-gueye-et-jackson,180,870963
92,https://www.afriquesports.net/europe/choc-au-real-madrid-un-cadre-vire-apres-une-bagarre-avec-bellingham,179,863840
93,https://www.afriquesports.net/football/real-madrid-le-vestiaire-tranche-et-prend-position-entre-xabi-alonso-et-vinicius-jr,177,870844
95,https://www.afriquesports.net/europe/casemiro-4e-xabi-alonso-2e-les-5-plus-grands-milieux-defensifs-du-21e-siecle,175,472835
96,https://www.afriquesports.net/ballon-dor/ballon-dor-africain-2025-voici-les-grands-favoris-et-le-classement-provisoire,173,852635
97,https://www.afriquesports.net/ligue-des-champions/man-city-real-mbappe-egalise-avec-un-brin-de-reussite-video,172,841439
98,https://www.afriquesports.net/autres/mike-tyson-vs-jake-paul-voici-lheure-et-la-chaine-pour-suivre-le-combat-en-afrique,171,832629
99,https://www.afriquesports.net/football/real-madrid-la-reponse-cash-de-xabi-alonso-a-karim-benzema,170,869862
102,https://www.afriquesports.net/football/getafe-real-madrid-les-compos-sont-tombees-avec-une-absence-de-taille,166,864052
105,https://www.afriquesports.net/europe/toni-kroos-surprend-le-joueur-le-plus-crucial-du-barca-nest-pas-yamal-ni-raphinha,158,862611
106,https://www.afriquesports.net/europe/coup-dur-5-absents-au-real-madrid-pour-affronter-getafe,157,863972
107,https://www.afriquesports.net/europe/urgent-un-joueur-du-real-madrid-victime-dun-avc-inquietant,157,864066
108,https://www.afriquesports.net/football/real-madrid-trois-signatures-gratuites-en-vue-une-bombe-sur-le-mercato,147,862982
109,https://www.afriquesports.net/afrique/voici-le-classement-des-10-clubs-africains-les-plus-riches,145,779161
111,https://www.afriquesports.net/europe/real-madrid-le-verdict-tombe-pour-le-carton-rouge-de-huijsen,143,859489
114,https://www.afriquesports.net/football/je-quitte-lequipe-vinicius-aurait-insulte-xabi-alonso-apres-sa-sortie-contre-le-barca,141,864898
115,https://www.afriquesports.net/coupe-du-monde/le-selectionneur-de-la-mauritanie-se-lache-sur-le-senegal,138,863355
116,https://www.afriquesports.net/football/le-real-madrid-veut-se-debarasser-de-8-joueurs-au-mercato,138,869899
118,https://www.afriquesports.net/football/lamine-yamal-au-psg-la-grosse-bombe,137,862782
119,https://www.afriquesports.net/football/revelations-choquantes-a-manchester-united-scandale-interne-devoile,137,862584
120,https://www.afriquesports.net/europe/le-fc-barcelone-est-en-deuil-une-perte-lourde-pour-le-club,133,869898
121,https://www.afriquesports.net/europe/paul-pogba-quitte-monaco,131,863559
122,https://www.afriquesports.net/afrique/choc-et-tristesse-doussou-keita-annonce-un-deuil-dans-sa-famille,128,869175
123,https://www.afriquesports.net/football/coup-de-theatre-yoane-wissa-reintegre-newcastle-apres-son-forfait-pour-la-can-2025,126,870388
124,https://www.afriquesports.net/afrique/en-direct-pape-thiaw-devoile-la-liste-officielle-du-senegal-pour-la-can-2025,125,869813
125,https://www.afriquesports.net/can-2025/en-direct-can-2025-tanzanie-tunisie-live-ouganda-nigeria,125,872049
126,https://www.afriquesports.net/classement/pele-4e-gerd-muller-2e-les-4-joueurs-avec-le-plus-grand-nombre-de-buts-de-la-tete,125,668339
127,https://www.afriquesports.net/europe/haaland-3e-vinicius-5e-les-5-attaquants-les-plus-rapides-du-monde-en-ce-moment-2022,125,444935
128,https://www.afriquesports.net/can-2025/en-direct-rdc-vs-benin-groupe-d,124,871121
129,https://www.afriquesports.net/classement/cristiano-ronaldo-et-lionel-messi,124,241735
131,https://www.afriquesports.net/can-2025/en-direct-can-2025-algerie-vs-burkina-faso-groupe-e-suivez-le-match-en-live,123,871777
132,https://www.afriquesports.net/football/mauvaise-nouvelle-5-absents-au-real-madrid-pour-le-choc-contre-getafe,123,863991
133,https://www.afriquesports.net/senegal/23-jours-plus-tard-bouna-sarr-recoit-une-decision-inattendue,123,870352
134,https://www.afriquesports.net/europe/le-bayern-munich-en-deuil-un-joueur-de-18-ans-decede-subitement,122,871976
135,https://www.afriquesports.net/afrique/senegal-vs-mauritanie-la-nouvelle-que-tout-le-monde-attendait-enfin-confirmee,121,863243
136,https://www.afriquesports.net/classement/huit-8-joueurs-qui-ont-gagne-la-coupe-du-monde-sans-jouer-un-seul-match,121,652785
137,https://www.afriquesports.net/football/ballon-dor-le-nom-du-vainqueur-entre-dembele-et-yamal-aurait-fuite,121,860282
138,https://www.afriquesports.net/football/si-tout-etait-normal-marc-brys-brise-le-silence-et-balance-sur-samuel-etoo,121,863370
139,https://www.afriquesports.net/classement/gana-5e-fadiga-8e-mane-le-classement-des-meilleurs-joueurs-senegalais-de-tous-les-temps,120,645914
140,https://www.afriquesports.net/coupe-du-monde/islande-france-le-but-qui-a-refroidi-tout-un-pays,120,863378
145,https://www.afriquesports.net/classement/classement-des-10-meilleurs-trios-de-tous-les-temps,117,654056
146,https://www.afriquesports.net/football/real-madrid-la-duree-dindisponibilite-de-dean-huijsen-est-connue,117,862660
149,https://www.afriquesports.net/article-du-jour/ce-jour-ou-adebayor-a-tout-deballe-sur-sa-famille,115,220877
150,https://www.afriquesports.net/europe/xabi-alonso-4e-xavi-2e-les-5-meilleurs-milieux-de-terrain-espagnols-de-tous-les-temps,112,435174
152,https://www.afriquesports.net/football/coup-dur-pour-lionel-messi-sa-soeur-victime-dun-grave-accident-serieuses-blessures-et-mariage-reporte,111,871076
153,https://www.afriquesports.net/can-2025/senegal-vs-botswana-suivez-les-temps-forts-en-direct,110,871144
154,https://www.afriquesports.net/classement/neymar-12e-messi-5e-zidane-4e-les-20-joueurs-les-plus-techniques-de-lhistoire-reveles,110,404985
156,https://www.afriquesports.net/afrique-sports-tv/le-double-phenomenal-de-cristiano-ronaldo-video,107,871678
159,https://www.afriquesports.net/can-2025/en-direct-can-2025-burkina-faso-vs-guinee-equatoriale-groupe-e-suivez-le-match-en-live,104,871296
160,https://www.afriquesports.net/football/coup-dur-pour-le-barca-le-cauchemar-se-poursuit-pour-lamine-yamal,104,862621
161,https://www.afriquesports.net/football/le-footballeur-cheikh-toure-enleve-et-tue-au-ghana-letat-du-senegal-brise-le-silence,104,863967
162,https://www.afriquesports.net/europe/un-cadre-quitte-officiellement-le-real-madrid,103,863404
164,https://www.afriquesports.net/football/habib-beye-frappe-fort-apres-le-nul-entre-le-cameroun-et-la-cote-divoire-il-tacle-ouvertement-les-elephants,103,871859
167,https://www.afriquesports.net/article-du-jour/real-madrid-la-fortune-de-toni-kroos-apres-17-ans-de-carriere-devoilee,101,806629
168,https://www.afriquesports.net/cameroun/can-2025-a-quelques-heures-du-match-face-au-gabon-andre-onana-balance-un-message-cash-au-cameroun,101,871284
169,https://www.afriquesports.net/can-2025/habib-beye-frappe-fort-apres-le-nul-entre-le-cameroun-et-la-cote-divoire-il-tacle-ouvertement-les-elephants,101,871859
170,https://www.afriquesports.net/afrique-sports-tv/lionel-messi-repond-au-banger-de-cr7-avec-un-chef-doeuvre-video,100,863963
171,https://www.afriquesports.net/afrique/cameroun-la-guerre-eclate-entre-marc-brys-et-samuel-etoo,100,863699
173,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-france-football-confirme-la-fuite-et-choque-tout-le-monde,99,860571
174,https://www.afriquesports.net/classement/voici-le-classement-des-meilleurs-buteurs-de-tous-les-temps,99,655551
175,https://www.afriquesports.net/coupe-du-monde/mondial-2026-la-caf-annonce-une-mauvaise-nouvelle-pour-le-cameroun,99,863390
178,https://www.afriquesports.net/football/rd-congo-senegal-la-fifa-tranche-et-prend-une-grosse-decision,98,862674
179,https://www.afriquesports.net/football/scandale-au-real-un-cadre-exclu-apres-une-bagarre-avec-bellingham,97,863848
182,https://www.afriquesports.net/afrique/senegal-kenya-decouvrez-la-chaine-et-lheure-du-match-amical,94,867199
183,https://www.afriquesports.net/coupe-du-monde/coupe-du-monde-2026-la-fifa-fait-une-annonce-choc-pour-les-equipes-africaines,94,863923
184,https://www.afriquesports.net/can-2025/gabon-aubameyang-au-coeur-dun-echange-tendu-sur-x-avant-lannonce-officielle,93,872349
186,https://www.afriquesports.net/article-du-jour/classement-fifa-afrique-le-maroc-domine-le-senegal-rassure-le-cameroun-chute-lourdement,92,863800
188,https://www.afriquesports.net/ligue-des-champions/le-barca-exclu-de-la-ligue-des-champions-laporta-lache-une-bombe,92,864044
190,https://www.afriquesports.net/afrique/can-2025-le-benin-accuse-la-var-et-denonce-un-arbitrage-scandaleux,90,872119
191,https://www.afriquesports.net/afrique/rdc-vs-senegal-voici-le-11-de-depart-aligne-par-pape-thiaw-avec-une-grosse-surprise,90,858561
192,https://www.afriquesports.net/afrique/senegal-la-decision-officielle-est-tombee-pour-assane-diao-et-la-selection,90,859118
193,https://www.afriquesports.net/article-du-jour/duel-de-legendes-les-chiffres-ont-tranche-entre-ronaldo-et-etoo,90,269389
194,https://www.afriquesports.net/football/apres-la-blessure-de-pedri-un-autre-terrible-coup-dur-frappe-le-barca,90,870562
195,https://www.afriquesports.net/football/real-madrid-rodrygo-et-vinicius-balancent-des-mots-sur-ancelotti-et-piquent-xabi-alonso,90,863178
196,https://www.afriquesports.net/football/video-accrochage-entre-lamine-yamal-et-arda-guler-voici-ce-qui-sest-passe,90,858337
197,https://www.afriquesports.net/europe/barca-guirassy-cest-confirme,89,862529
198,https://www.afriquesports.net/football/uruguay-3e-france-7e-bresil-les-10-des-nations-les-plus-titrees-de-lhistoire-du-foot,89,491256
199,https://www.afriquesports.net/afrique/can-2025-malgre-la-tempete-pape-thiaw-a-deja-scelle-sa-liste,88,869699
200,https://www.afriquesports.net/europe/xavi-et-iniesta-3e-de-bruyne-david-silva-2e-les-5-meilleurs-duos-de-milieux-de-terrain-de-la-derniere-decennie,88,461577
203,https://www.afriquesports.net/article-du-jour/direct-pape-thiaw-devoile-la-liste-officielle-des-joueurs-retenus-pour-la-can-2025,87,869807
204,https://www.afriquesports.net/classement/la-liste-de-tous-les-ballons-dor-africains-et-des-records-2,87,784201
205,https://www.afriquesports.net/can-2025/terrible-nouvelle-la-prevente-des-billets-pour-la-can-2025-vire-au-chaos,86,861122
206,https://www.afriquesports.net/europe/le-barca-tient-le-nouveau-messi-encore-en-argentine,86,862714
207,https://www.afriquesports.net/europe/florentino-perez-se-lache-et-tranche-pour-xabi-alonso,85,869687
208,https://www.afriquesports.net/europe/modric-8e-pirlo-5e-xavi-3e-les-10-meilleurs-milieux-de-terrain-de-tous-les-temps,85,453902
210,https://www.afriquesports.net/football/2026-commence-mal-pour-lamine-yamal-et-le-barca,84,872403
212,https://www.afriquesports.net/football/mondial-2026-la-fifa-a-pris-sa-decision-pour-la-rd-congo,84,861600
213,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-le-vainqueur-deja-connu-et-le-classement-potentiellement-fuite,83,860406
214,https://www.afriquesports.net/europe/real-madrid-la-composition-contre-lespanyol-fuitee-xabi-alonso-chamboule-tout,83,860169
217,https://www.afriquesports.net/senegal/senegal-botswana-sous-la-pluie-le-geste-dedouard-mendy-fait-le-buzz-a-la-can-photo,82,871222
219,https://www.afriquesports.net/can-2025/en-direct-can-2025-nigeria-vs-tanzanie-groupe-c-suivez-le-match-en-live,81,871184
223,https://www.afriquesports.net/can-2025/coupe-dafrique-des-nations-endeuillee-par-un-drame-bouleversant,80,871036
224,https://www.afriquesports.net/football/le-meilleur-milieu-de-terrain-actuel-de-liga-est-au-real-madrid-une-grosse-surprise,80,837102
225,https://www.afriquesports.net/afrique/habib-beye-dans-la-tourmente-le-terrible-verdict-devoile,79,862930
226,https://www.afriquesports.net/afrique/senegal-vs-mauritanie-pape-thiaw-surprend-avec-3-changements-dans-le-onze,79,863412
227,https://www.afriquesports.net/europe/lamine-yamal-trompe-par-sa-petite-amie-une-star-du-real-madrid-impliquee,79,857915
229,https://www.afriquesports.net/ballon-dor/ballon-dor-2025-le-vainqueur-deja-annonce-enorme-fuite,78,860439
230,https://www.afriquesports.net/football/le-maroc-en-deuil-une-star-decede-dans-un-tragique-accident-de-voiture,78,866982
231,https://www.afriquesports.net/football/tragedie-dans-le-monde-du-foot-deces-accidentel-dune-star-celebre,78,863241
232,https://www.afriquesports.net/can-2025/direct-mali-zambie-duel-crucial-du-groupe-a-a-suivre-en-live,77,870855
233,https://www.afriquesports.net/football/apres-yamal-et-raphinha-un-autre-cadre-se-blesse-et-rate-le-clasico,77,863433
234,https://www.afriquesports.net/football/tragedie-inattendue-dans-le-monde-du-foot-une-grande-star-perd-la-vie-dans-un-tragique-accident,77,863251
235,https://www.afriquesports.net/football/video-lincroyable-frappe-de-federico-valverde-contre-seville-le-but-est-dingue,77,836827
237,https://www.afriquesports.net/football/fc-barcelone-frappe-fort-le-club-tient-son-futur-lamine-yamal,76,863279
239,https://www.afriquesports.net/football/real-madrid-rodrygo-frappe-fort-avec-une-decision-radicale,76,872421
